pkg,title,topics
leadsheets,Typesetting leadsheets and songbooks,"Music, Chords"
leaflet,Create small handouts (flyers),"Class, Layout, Tagged PDF – incompatible"
leawood,LaTeX support for use of ITC Leawood font family,Font support
leipzig,Typeset and index linguistic gloss abbreviations,Linguistic
lettrine,Typeset dropped capitals,"Lettrine, Tagged PDF – fully compatible"
lewis,Draw Lewis structures,Chemistry
librarian,Tools to create bibliographies in TeX,Bibliography
lie-hasse,Draw Hasse diagrams,"PGF TikZ, Diagrams"
liederbuch,"A LaTeX package for storing songs or other content, and repeated reuse in documents",Music
liftarm,Geometric constructions with liftarms using TikZ and LaTeX3,"Graphics, PGF TikZ, Tagged PDF – fully compatible"
lilyglyphs,"Access lilypond fragments and glyphs, in LaTeX","Music Font, Font, Music, OTF Font"
limecv,A (Xe/Lua)LaTeX document class for curriculum vitæ,"CV, Class"
linearregression,Calculate and display linear regressions,"Maths, Calculation"
linebreaker,Prevent overflow boxes with LuaLaTeX,"LuaTeX, Tagged PDF – fully compatible, Micro layout"
lineno,Line numbers on paragraphs,"Typesetting, Line numbers, Tagged PDF – incompatible"
ling-macros,Macros for typesetting formal linguistics,Linguistic
lingtrees,Linguistics trees preprocessor and macros,"Linguistic, Tree"
linkedthm,Hyperlinked theorem–proof environments for LaTeX,"Maths theorem, Hyper"
lipsum,Easy access to the Lorem Ipsum and other dummy texts,"Macro support, Multi-lingual, Dummy generator, Tagged PDF – fully compatible"
listofitems,Grab items in lists using user-specified sep char,"List, Text manipulation, Tagged PDF – fully compatible"
lmake,Process lists to do repetitive actions,Macro support
logicproof,Box proofs for propositional and predicate logic,Logic
logpap,Generate logarithmic graph paper with LaTeX,Diagrams
logsys,Draw logarithmic coordinate systems,"Graphics in TeX, Tagged PDF – fully compatible"
longfbox,Draw framed boxes with standard CSS attributes that can break over multiple pages,"Boxing, Tagged PDF – incompatible, Decoration"
longtable,Allow tables to flow over page boundaries,"Tagged PDF – fully compatible, Table long, Table"
longtwocolumn,A twocolumn alternative allowing automatic page breaks,"Multi-column, Tagged PDF – partially compatible"
lsabon,Support files for the Linotype Sabon fonts,"Font support, Tagged PDF – fully compatible"
lsc,Typesetting Live Sequence Charts,"Comp net, Tagged PDF – incompatible"
ltx4yt,Play YouTube videos in the default browser,"PDF features, Multimedia"
ltxcmds,Some LaTeX kernel commands for general use,"Tagged PDF – fully compatible, Generic Macros, Macro support"
ltximg,Extract LaTeX environments into separate image files,"Graphics, Chunks, Subdocs"
lua-tikz3dtools,Not-so-experimental LuaLaTeX package for 3D illustrations in TikZ,"PGF TikZ, 3D Graphics, LuaTeX, Graphics"
lua-visual-debug,Visual debugging with LuaLaTeX,"Debug support, LuaTeX, Generic Macros"
lua-widow-control,Automatically remove widows and orphans from any document,"Layout, LuaTeX, Tagged PDF – fully compatible"
luanumbers,Decimal adjustment from a single preamble setup,Numbers
lucide-icons,Use lucide-icons through LaTeX commands,"Text symbol, Graphics"
m-tx,A preprocessor for pmx,Music
m3d,Extension of plain MetaPost for 3D graphics,"Graphics use, 3D Graphics"
magicthegathering,LaTeX package for Magic: The Gathering typesetting,"Games, Amusements, Graphics symbols"
magicwatermark,An easy and flexible way to set watermarks,"Background, PGF TikZ, Watermark"
mailing,Macros for mail merging,Mailing
mailmerge,Repeating text field substitution,Mailing
makebarcode,Print various kinds 2/5 and Code 39 bar codes,Barcode
makecell,Tabular column heads and multilined cells,"Tagged PDF – partially compatible, Table"
makecirc,A MetaPost library for drawing electrical circuit diagrams,Circuit Diagram
makecookbook,Make a Cookbook,"LuaTeX, Cooking, Book publication"
makeidx,Standard LaTeX package for creating indexes,"Tagged PDF – fully compatible, Index"
maker,Include Arduino or Processing code in LaTeX documents,"Listing, Syntax highlight"
makeshape,Declare new PGF shapes,PGF TikZ
makor2,Typeset pointed Hebrew using Omega,"Omega, Hebrew"
marcellus,LaTeX support for the Marcellus font family,"Tagged PDF – fully compatible, Font Type1, Body Font, Font, Font TTF, Font t1enc, Proportional Font, Font support"
margbib,Display bibitem tags in the margins,"Cite support, Marginal"
marginfix,Patch \marginpar to avoid overfull margins,"Marginal, Tagged PDF – fully compatible"
marginnote,"Notes in the margin, even where \marginpar fails","Notes, Marginal, Tagged PDF – fully compatible"
mathabx,Three series of mathematical symbols,"Font symbol maths, Font, Tagged PDF – partially compatible, MF Font"
mathador,LaTeX commands for the French game <q>Mathador</q>,"Graphics, Games, PGF TikZ"
mathalphabets,Chinese introduction to mathematical alphabets,"Chinese documentation, Documentation, Tutorial"
mathdesign,Mathematical fonts to fit with particular text fonts,"Font supp maths, Font Type1, Maths Font, Font"
mathdots,Commands to produce dots in math that respect font size,"Tagged PDF – partially compatible, Maths"
mathpartir,"Typesetting sequences of math formulas, e.g. type inference rules","Tagged PDF – partially compatible, Maths"
maths-symbols,Summary of mathematical symbols available in LaTeX,Font index
mathtools,Mathematical tools to use with amsmath,"Tagged PDF – partially compatible, Maths"
matlab-prettifier,Pretty-print Matlab source code,"Tagged PDF – incompatible, Listing"
matrix-skeleton,A PGF/TikZ library that simplifies working with multiple matrix nodes,"PGF TikZ, Maths"
mattens,Matrices/tensor typesetting,"Tagged PDF – partially compatible, Engineering, Maths"
maze,Generate random mazes,Games
mbenotes,Notes in tables or images,"Package declared obsolete, Notes"
mcf2graph,Draw chemical structure diagrams with MetaPost,"Chemistry, Graphics, Graphics METAPOST"
mdframed,Framed environments that can split at page boundaries,"Box breaking, Boxing, Decoration, Tagged PDF – unsupported"
mdwtab,A reimplementation of tabular and array environments,"Tagged PDF – incompatible, Table"
measurebox,Precise measurements of glyphs,"Measure, Font development"
memdesign,Notes on book design,Review document
memoir,"Typeset fiction, non-fiction and mathematical books","Class, Tagged PDF – incompatible, Book publication"
memorygraphs,TikZ styles to typeset graphs of program memory,"PGF TikZ, Graphics"
mensa-tex,Typeset simple school cafeteria menus,"Cooking, Class"
menu,Typesetting menus,Documentation support
menukeys,"Format menu sequences, paths and keystrokes from lists","Documentation support, Tagged PDF – partially compatible"
mercatormap,Spherical Mercator coordinate systems and Web Mercator tile integration,"PGF TikZ, Cartography, Graphics"
messagebubbles,Display message bubbles as a conversation,Document Management
messagepassing,Draw diagrams to represent communication protocols,"Diagrams, PGF TikZ"
metaobj,MetaPost package providing high-level objects,Graphics engine
metastr,Store and compose strings,"Licence management, Metadata, String"
metauml,MetaPost library for typesetting UML diagrams,"UML, METAPOST use"
metrix,Typeset metric marks for Latin text,"Latin, Tagged PDF – incompatible, Verse"
metsymb,The package provides dedicated TeX commands to generate (vectorial) meteorological symbols,"SFD Font, Font specialist, Font symbol, Font, OTF Font, Scientific documents"
mfirstuc,Uppercase the first letter of a word,"Macro support, Tagged PDF – fully compatible, Text manipulation"
mfpic,Draw Metafont/post pictures from (La)TeX commands,"Tagged PDF – incompatible, Graphics in TeX"
mgltex,High-quality graphics from MGL scripts embedded in LaTeX documents,"Maths, Graphics plot, Graphics plot function"
mhchem,Typeset chemical formulae/equations and H and P statements,"Chemistry, Safety notice"
mhequ,"Multicolumn equations, tags, labels, sub-numbering",Maths
milsymb,LaTeX package for TikZ based drawing of military symbols as per NATO APP-6(C),"Graphics, PGF TikZ, Symbol support"
mindflow,Write your ideas in a clear way,Notes
minibox,A simple type of box for LaTeX,"Tagged PDF – incompatible, Boxing"
minim,A modern plain format for the LuaTeX engine,"LuaTeX, Format"
minim-hatching,Create tiling patterns with the minim-mp MetaPost processor,"Graphics subpic, LuaTeX"
minitoc,"Produce a table of contents for each chapter, part or section","Tagged PDF – incompatible, TOC etc."
minutes,Typeset the minutes of meetings,Meeting admin
mkpic,Perl interface to mfpic,Graphics
mlist,Logical markup for lists,"Tagged PDF – fully compatible, Maths"
modernposter,A modern LaTeX poster theme,"Poster, Class"
modiagram,Drawing molecular orbital diagrams,"Chemistry, Diagrams"
mol2chemfig,"Convert chemical structures from MDL molfile format
           to chemfig source code","Chemistry, Foreign import"
moodle,Generating Moodle quizzes via LaTeX,Exam
moreenum,More enumeration options,"List enumerate, Numbers, Tagged PDF – fully compatible"
movement-arrows,Drawing movement arrows on linguistic example sentences,"Linguistic, PGF TikZ"
mp3d,3D animations,"3D Graphics, METAPOST use"
mparrows,MetaPost module with different types of arrow heads,METAPOST support
mpattern,Patterns in MetaPost,Graphics use
mpchess,Drawing chess boards and positions with MetaPost,"METAPOST use, Graphics METAPOST, Games, Graphics, Chess"
mpkiviat,MetaPost package to draw Kiviat diagrams,"Graphics plot, Diagrams"
mptrees,Probability trees with MetaPost,"Graphics METAPOST, Maths, Probability, Math Diagrams"
msc,Draw MSC diagrams,"PGF TikZ, Comp net"
multi-sudoku,Create and customise Sudoku grids of various sizes,"Games, Sudoku"
multiaudience,Several versions of output from the same source,"Tagged PDF – fully compatible, Conditional compilation"
multicolrule,Decorative rules between columns,"Rule, Line pattern, Decoration, Tagged PDF – partially compatible, Line weight"
multifootnote,Multiple numbers for the same footnote,Footnote
multilang,A LaTeX package for maintaining multiple translations of a document,"Tagged PDF – incompatible, Multi-lingual"
multiple-choice,LaTeX package for multiple-choice questions,Exam
multitoc,Set table of contents in multiple columns,"TOC etc., Tagged PDF – fully compatible"
musical,Typeset (musical) theatre scripts,"Drama script, Music"
musicography,Accessing symbols for music writing with pdfLaTeX,"Font supp symbol, Music, Tagged PDF – partially compatible"
mwe,Packages and image files for MWEs,"Debug support, Tagged PDF – fully compatible"
nanicolle,Typesetting herbarium specimen labels,"Class, XeTeX, Chinese, Labels, Covers, Biology"
natbib,Flexible bibliography support,"BibTeX Support, Tagged PDF – fully compatible"
newspaper,Typeset newsletters to resemble newspapers,Magazine
nicefilelist,Provide \listfiles alignment,"Document Management, Tagged PDF – fully compatible"
nimsticks,Draws sticks for games of multi-pile Nim,"Graphics, PGF TikZ, Games"
ninecolors,Select colors with proper WCAG color contrast,Colour
nl-interval,Represent intervals on the number line,"Maths, PGF TikZ"
nmbib,"Multiple versions of a bibliography, with different sort orders","Tagged PDF – incompatible, BibTeX Support"
nndraw,Draw neural networks,Diagrams
nodepthtext,Change small texts to remove the depth of the letters,"Typesetting, Font support"
nodetree,Visualize node lists in a tree view,Lua support
nox,Adaptable tables,"Table long, Table"
numname,Convert a number to its English expression,Numbers
ocg-p,PDF OCG support in LaTeX,PDF features
ocgtools,Manipulate OCG layers in PDF presentations,PDF features
ocgx,Use OCGs within a PDF document without JavaScript,PDF features
octavo,Typeset books following classical design and layout,"Class, Book publication"
old-arrows,Computer Modern old-style arrows with smaller arrowheads,"Font Type1, Font symbol maths, Tagged PDF – partially compatible"
onedown,Typeset Bridge Diagrams,Games
opacity-pro,Set transparency and blend mode,"PDF features, Adobe Distiller"
opcit,Footnote-style bibliographical references,"BibTeX Support, Footnote"
opencolor,Definitions from the Open Color library,Colour
openmoji,Use openmoji through LaTeX commands,"Graphics, Text symbol"
oplotsymbl,Some symbols which are not easily available,"PGF TikZ, Graphics symbols"
optex,LuaTeX format based on Plain TeX and OPmac,"Format, LuaTeX, Plain extensions"
optikz,Customizable optical components for drawing laser setups and optical systems using TikZ,"Graphics in TeX, PGF TikZ, Physics, Optics"
optional,Facilitate optional printing of parts of a document,"Tagged PDF – fully compatible, Editorial, Conditional compilation"
options,Provides convenient key-value options for LaTeX package writers,Key-Val
orderrefs,Sort bibliography in LaTeX document by order of citation,Bibliography support
osda,Commands for Proceedings of the Workshop on Open-Source Design Automation,"Footnote, Journal"
othelloboard,"Typeset Othello (Reversi) diagrams of any size, with annotations",Games
outilsgeomtikz,"Some geometric tools, with TikZ","Graphics, PGF TikZ"
overarrows,Custom extensible arrows over math expressions,"Maths, PGF TikZ"
overlays,Incremental slides,Presentation
page-canons,Classical page-layout canons with margin-note support,"Layout, Geometry, Marginal"
pagecolor,Interrogate page color,"Colour, Tagged PDF – fully compatible"
pagecont,Page numbering that continues between documents,Page numbers
pagerange,Flexible and configurable page range typesetting,"Label and References, Macro support"
pagesel,Select pages of a document for output,"Page control, Tagged PDF – incompatible"
palette,Create palettes for colors and symbols that can be swapped in,Colour
papermas,Compute the mass of a printed version of a document,"Tagged PDF – fully compatible, Calculation"
papertex,"Class for newspapers, etc",Magazine
parades,Tabulators and space between paragraphs in galley approach,Parshape
paralist,Enumerate and itemize within paragraphs,"List, Bullet List, Tagged PDF – incompatible, List enumerate"
parcolumns,Multiple column parallel typesetting,"Parallel, Tagged PDF – incompatible"
parnotes,Notes after every paragraph (or elsewhere),"Notes, Tagged PDF – partially compatible"
parskip,"Layout with zero \parindent, non-zero \parskip","Tagged PDF – fully compatible, Layout, Parshape"
pas-crosswords,"Creating crossword grids, using TikZ","PGF TikZ, Crossword puzzle, Games"
pascaltriangle,Draw beautiful Pascal (Yanghui) triangles,"Maths, Calculation, PGF TikZ"
passopt,Passing options to packages or classes,"Typeset tool, Typesetting"
pbalance,Balance last page in two-column mode,"Tagged PDF – fully compatible, Multi-column"
pdfmsym,PDF Math Symbols – various drawn mathematical symbols,"Generic Macros, Maths symbol, Graphics symbols"
pdfrender,Control rendering parameters,"Tagged PDF – fully compatible, Typesetting"
pdfreview,Annotate PDF files with margin notes,"Graphics include, Editorial, Teaching, Marginal"
pdfscreen,Support screen-based document design,"Presentation, Hyper"
pedigree-perl,Generate TeX pedigree files from CSV files,"Humanities, CSV support"
pfdicons,Draw process flow diagrams in chemical engineering,"Chemistry, Engineering, Graphics, PGF TikZ"
pgf-interference,Drawing interference patterns with PGF/TikZ,"Physics, PGF TikZ"
pgf-periodictable,Create custom periodic tables of elements,"Chemistry, Tagged PDF – incompatible, PGF TikZ"
pgf-pie,"Draw pie charts, using PGF","PGF TikZ, Charts, Tagged PDF – fully compatible"
pgf-soroban,Create images of the soroban using TikZ/PGF,Diagrams
pgf-spectra,Draw continuous or discrete spectra using PGF/TikZ,"Physics, PGF TikZ"
pgfgantt,Draw Gantt charts with TikZ,"Diagrams, Tagged PDF – partially compatible, Graphics, PGF TikZ, Gantt"
pgfkeysearch,Find keys in a given path <q>recursively</q>,Key-Val
pgfmolbio,Draw graphs typically found in molecular biology texts,"Graphics, LuaTeX, Diagrams, Mol bio, PGF TikZ"
pgfmorepages,Assemble multiple logical pages onto a physical page,PGF TikZ
pgfornament,Drawing of Vectorian ornaments with PGF/TikZ,"Graphics plot, Tagged PDF – partially compatible, Decoration"
pgfornament-han,<span>pgfornament</span> library for Chinese traditional motifs and patterns,"Graphics symbols, Tagged PDF – partially compatible, PGF TikZ, Presentation, Chinese"
pgfplots,Create normal/logarithmic plots in two and three dimensions,"Graphics plot, Tagged PDF – incompatible, Graphics, PGF TikZ"
pgfplotstable,"Loads, rounds, formats and postprocesses numerical tables","Tagged PDF – fully compatible, Graphics plot"
pgfplotsthemebeamer,Use colours from the current beamer theme in pgfplots,"Colour, Graphics plot, Presentation, Graphics"
phfcc,Convenient inline commenting in collaborative documents,"Editorial, Conditional compilation"
phfquotetext,Quote verbatim text without white space formatting,Verbatim
philex,Cross references for named and numbered environments,Label and References
pictochrono,Insert <q>chronometer pictograms</q> with a duration,"PGF TikZ, Graphics"
piechartmp,Draw pie-charts using MetaPost,Charts
pinlabel,A TeX labelling package,Graphics text
pinoutikz,Draw chip pinouts with TikZ,"PGF TikZ, Electronic, Graphics"
piton,Typeset computer listings with LPeg of LuaLaTeX,"Listing, LuaTeX, Syntax highlight, Tagged PDF – incompatible"
pixelart,Draw pixel-art pictures,"PGF TikZ, LuaTeX, Graphics"
pixelarttikz,"Work with PixelArts, with TikZ","PGF TikZ, Graphics"
pkginfograb,Collect LaTeX package information in a regular way,"Metadata, Macro support"
placeat,Absolute content positioning,"LuaTeX, Layout"
plainpkg,A minimal method for making generic packages,"Macro support, Generic Macros"
platexcheat,"A LaTeX cheat sheet, in Japanese",Tutorial cheat sheet
playcards,A simple template for drawing playcards,"PGF TikZ, Cards, Games"
pmboxdraw,Poor man’s box drawing characters,"Tagged PDF – incompatible, Graphics in TeX"
pmdraw,Draw elements of the diagram monoids,"PGF TikZ, Graphics, Diagrams, Maths, Physics"
pmgraph,<q>Poor man’s</q> graphics,Graphics in TeX
poetry,Facilities for typesetting poetry and poetical structure,"Tagged PDF – partially compatible, Verse"
poetrytex,Typeset anthologies of poetry,Verse
polexpr,A parser for polynomial expressions,"Generic Macros, Calculation, &epsilon;-TeX, Tagged PDF – incompatible, Maths, Arithmetic"
polyglossia,An alternative to babel for XeLaTeX and LuaLaTeX,"Use LuaTeX, Use XeTeX, Multi-lingual"
polyhedra,A TikZ package for drawing polyhedra,"Maths, PGF TikZ, Graphics"
polynom,Macros for manipulating polynomials,"Maths, Tagged PDF – incompatible"
polyomino,Polyominoes using TikZ and LaTeX3,"PGF TikZ, Tagged PDF – fully compatible, Graphics"
polytable,Tabular-like environments with named columns,"Table, Tagged PDF – incompatible"
postit,A LaTeX package for displaying Post-it notes,"Boxing, Decoration"
prerex,Interactive editor and macro support for prerequisite charts,Graphics prep
proflabo,Draw laboratory equipment,Chemistry
progress,Creates an overview of a document’s state,Document Management
progressbar,Visualize shares of total amounts in the form of a (progress-)bar,"Tagged PDF – partially compatible, Graphics use"
proofread,Commands for inserting annotations,"Decoration, Editorial"
prooftrees,Forest-based proof trees (symbolic logic),"Tagged PDF – fully compatible, Tree, Logic, PGF TikZ"
pst-2dplot,A PSTricks package for drawing 2D curves,"Tagged PDF – incompatible, PSTricks, Graphics plot"
pst-3dplot,"Draw 3D objects in parallel projection, using PSTricks","PSTricks, Tagged PDF – incompatible, Graphics plot, 3D Graphics"
pst-am,Simulation of modulation and demodulation,"Diagrams, PSTricks, Tagged PDF – incompatible"
pst-antiprism,A PSTricks related package which draws an antiprism,"Graphics, PSTricks, Tagged PDF – incompatible"
pst-arrow,Special arrows for PSTricks,"PSTricks, Tagged PDF – incompatible"
pst-art-led,A PSTricks art package to generate LED displays,"PSTricks, Tagged PDF – incompatible, Decoration, Graphics"
pst-asr,Typeset autosegmental representations for linguists,"Tagged PDF – incompatible, PSTricks, Linguistic"
pst-bar,Produces bar charts using PSTricks,"Tagged PDF – incompatible, PSTricks, Charts"
pst-barcode,Print barcodes using PostScript,"Tagged PDF – incompatible, PSTricks, QR Code, Barcode"
pst-bezier,Draw Bezier curves,"Tagged PDF – incompatible, PSTricks, Curve Graphics"
pst-blur,PSTricks package for <q>blurred</q> shadows,"Graphics subpic, PSTricks, Tagged PDF – incompatible"
pst-bspline,Draw cubic Bspline curves and interpolations,"Tagged PDF – incompatible, Curve Graphics, PSTricks"
pst-calendar,Plot calendars in <q>fancy</q> ways,"PSTricks, Tagged PDF – incompatible, Calendar"
pst-cie,CIE color space,"Colour, PSTricks, Tagged PDF – incompatible"
pst-circ,PSTricks package for drawing electric circuits,"PSTricks, Circuit Diagram, Tagged PDF – incompatible"
pst-coil,"A PSTricks package for coils, etc","Tagged PDF – incompatible, PSTricks, Physics, Graphics use"
pst-contourplot,Draw implicit functions using the <q>marching squares</q> algorithm,"Tagged PDF – incompatible, PSTricks, Graphics plot function"
pst-cox,Drawing regular complex polytopes with PSTricks,"Maths, PSTricks, Physics, Tagged PDF – incompatible"
pst-dart,Plotting dart boards,"PSTricks, Tagged PDF – incompatible, Games"
pst-dbicons,Support for drawing ER diagrams,"Diagrams, PSTricks, Tagged PDF – incompatible"
pst-diffraction,Print diffraction patterns from various apertures,"Physics, PSTricks, Tagged PDF – incompatible, Graphics use"
pst-electricfield,Draw electric field and equipotential lines with PSTricks,"PSTricks, Tagged PDF – incompatible, Graphics use"
pst-eps,Create EPS files from PSTricks figures,"Graphics prep, PSTricks, Tagged PDF – incompatible"
pst-eucl,Euclidean geometry with PSTricks,"PSTricks, Graphics use, Maths, Tagged PDF – incompatible"
pst-exa,"Typeset PSTricks examples, with code","Listing, PSTricks"
pst-feyn,Draw graphical elements for Feynman diagrams,"Tagged PDF – incompatible, Physics"
pst-fit,Macros for curve fitting,"Tagged PDF – incompatible, Graphics support"
pst-fr3d,Draw 3-dimensional framed boxes using PSTricks,"PSTricks, Boxing, Tagged PDF – incompatible, 3D Graphics"
pst-fractal,Draw fractal sets using PSTricks,"PSTricks, Tagged PDF – incompatible, Graphics use"
pst-func,PSTricks package for plotting mathematical functions,"Maths, Tagged PDF – incompatible, Graphics use, Graphics plot function, PSTricks"
pst-gantt,Draw GANTT charts with PSTricks,"Diagrams, Gantt, Tagged PDF – incompatible, PSTricks"
pst-gears,Drawing internal and external gears,"Graphics, PSTricks, Tagged PDF – incompatible"
pst-geo,Geographical Projections,"Cartography, Tagged PDF – incompatible, PSTricks"
pst-geometrictools,A PSTricks package to draw geometric tools,"PSTricks, Maths, Tagged PDF – incompatible, Graphics use"
pst-gr3d,Three dimensional grids with PSTricks,"PSTricks, Typeset grid, 3D Graphics, Tagged PDF – incompatible"
pst-grad,"Filling with colour gradients, using PSTricks","Tagged PDF – incompatible, Colour, PSTricks"
pst-hsb,Curves with continuous colours,"PSTricks, Tagged PDF – incompatible, Colour"
pst-intersect,Compute intersections of arbitrary curves,"Graphics support, PSTricks, Tagged PDF – incompatible"
pst-jtree,Typeset complex trees for linguists,"Linguistic, Tree, PSTricks, Tagged PDF – incompatible"
pst-knot,PSTricks package for displaying knots,"Decoration, Tagged PDF – incompatible, PSTricks"
pst-labo,Draw objects for Chemistry laboratories,"Tagged PDF – incompatible, Graphics use, Chemistry"
pst-lens,Lenses with PSTricks,"PSTricks, Optics, Tagged PDF – incompatible"
pst-lsystem,Create images based on a L-system,"PSTricks, Tagged PDF – incompatible, Graphics use"
pst-magneticfield,Plotting a magnetic field with PSTricks,"PSTricks, Tagged PDF – incompatible, Physics"
pst-marble,A PSTricks package to draw marble-like patterns,"PSTricks, Graphics use, Graphics, Tagged PDF – incompatible"
pst-mirror,Images on a spherical mirror,"Graphics use, PSTricks, Tagged PDF – incompatible"
pst-moire,A PSTricks package to draw moiré patterns,"Graphics use, Tagged PDF – incompatible, PSTricks"
pst-node,Nodes and node connections in PSTricks,"Tagged PDF – incompatible, Linguistic, Graphics in TeX"
pst-nutation,"Rotation, precession, nutation of the earth","Astronomy, Tagged PDF – incompatible, PSTricks, Graphics"
pst-ob3d,Three dimensional objects using PSTricks,"PSTricks, Tagged PDF – incompatible, Graphics, 3D Graphics"
pst-optexp,Drawing optical experimental setups,"Laboratory Diagrams, Tagged PDF – incompatible, Physics, Optics, PSTricks"
pst-optic,Drawing optics diagrams,"Physics, Tagged PDF – incompatible, Diagrams, Optics, PSTricks"
pst-osci,Oscgons with PSTricks,"Tagged PDF – incompatible, PSTricks, Graphics use"
pst-pad,Draw simple attachment systems with PSTricks,"PSTricks, Graphics use, Tagged PDF – incompatible"
pst-pdgr,Draw medical pedigrees using PSTricks,"PSTricks, Tagged PDF – incompatible, Humanities"
pst-perspective,Draw perspective views using PSTricks,"PSTricks, 3D Graphics, Tagged PDF – incompatible"
pst-platon,Platonic solids in PSTricks,"Maths, PSTricks, 3D Graphics, Tagged PDF – incompatible"
pst-plot,Plot data using PSTricks,"Data import, PSTricks, Data display, Tagged PDF – incompatible"
pst-poly,Polygons with PSTricks,"PSTricks, Tagged PDF – incompatible, Maths"
pst-pulley,"Plot pulleys, using PSTricks","Tagged PDF – incompatible, PSTricks, Graphics use, Physics, Diagrams"
pst-qtree,Simple syntax for trees,"Tagged PDF – incompatible, Tree"
pst-rputover,Place text over objects without obscuring background colors,"Tagged PDF – incompatible, PSTricks"
pst-rubans,Draw three-dimensional ribbons,"PSTricks, Graphics, Tagged PDF – incompatible"
pst-sigsys,Support of signal processing-related disciplines,"Engineering, Physics, Tagged PDF – incompatible, PSTricks"
pst-slpe,Sophisticated colour gradients,"PSTricks, Tagged PDF – incompatible, Colour"
pst-solarsystem,Plot the solar system for a specific date,"Tagged PDF – incompatible, PSTricks, Astronomy"
pst-solides3d,Draw perspective views of 3D solids,"PSTricks, 3D Graphics, Tagged PDF – incompatible"
pst-spinner,Drawing a fidget spinner,"PSTricks, Tagged PDF – incompatible, Graphics"
pst-stru,"Civil engineering diagrams, using PSTricks","Graphics use, Tagged PDF – incompatible, Engineering"
pst-text,Text and character manipulation in PSTricks,"Graphics subpic, Tagged PDF – incompatible"
pst-thick,Drawing very thick lines and curves,"Tagged PDF – incompatible, Graphics subpic"
pst-tools,PSTricks support functions,"PSTricks, Graphics, Tagged PDF – incompatible"
pst-tree,"Trees, using PSTricks","Tree, Tagged PDF – incompatible, Linguistic"
pst-turtle,Commands for <q>turtle operations</q>,"PSTricks, Graphics, Tagged PDF – incompatible"
pst-uml,UML diagrams with PSTricks,"PSTricks, Tagged PDF – incompatible, UML"
pst-vectorian,Printing ornaments,"Decoration, Tagged PDF – incompatible"
pst-vehicle,A PSTricks package for rolling vehicles on graphs of mathematical functions,"Maths, Tagged PDF – incompatible, Graphics use, PSTricks"
pst-venn,A PSTricks package for drawing Venn sets,"Tagged PDF – incompatible, PSTricks, Math Diagrams"
pst-vowel,Enable arrows showing diphthongs on vowel charts,"Tagged PDF – incompatible, Phonetic"
pstricks-add,A collection of add-ons and bugfixes for PSTricks,"PSTricks, Tagged PDF – incompatible, Graphics in TeX"
pstring,Typeset sequences with justification pointers,Scientific documents
ptolemaicastronomy,Diagrams of sphere models for variably strict conditionals (Lewis counterfactuals),"PGF TikZ, Logic"
puyotikz,Quickly typeset board states of Puyo Puyo games,"Graphics, Games, PGF TikZ"
pxpic,Draw pixel pictures,"Graphics in TeX, Tagged PDF – partially compatible, Graphics"
pygmentex,Use Pygments to format code listings in documents,"Listing, Syntax highlight, Tagged PDF – incompatible"
pyluatex,Execute Python code on the fly in your LaTeX documents,"Callback, Tagged PDF – fully compatible, LuaTeX"
pynotebook,"<span>pynotebook</span> presents (raw, Markdown or Python) codes (and execution with LuaLaTeX) as in a Jupyter Notebook","Listing, Callback, Boxing"
pythontex,"Run Python from within a document, typesetting the results","Tagged PDF – incompatible, Callback"
q-and-a,Typesetting Q&amp;A-style conversation made easier,"Article-like, Class, Multi-lingual"
qrcode,Generate QR codes in LaTeX,"Tagged PDF – incompatible, Rule, QR Code, Barcode"
qrcstamps,Create QR codes using stamps,"QR Code, PDF features, Adobe Distiller, Letter"
qtree,Draw tree structures,"Linguistic, Tagged PDF – incompatible, Tree"
quantikz,Draw quantum circuit diagrams,"Circuit Diagram, PGF TikZ, Tagged PDF – incompatible, Graphics"
quickreaction,A simple and fast way to typeset chemical reactions,"PGF TikZ, Chemistry"
quiz2socrative,Prepare questions for socrative quizzes,Exam
quizztex,Create quizzes like in TV shows,"Exam, PGF TikZ"
quoting,Consolidated environment for displayed text,"Quotation, Tagged PDF – partially compatible"
quotmark,Consistent quote marks,Quotation
ragged2e,Alternative versions of <q>ragged</q>-type commands,"Layout, Tagged PDF – partially compatible, Parshape"
rainbowbrackets,Automatic coloring of nested parentheses,Parentheses management
randbild,Marginal pictures,Graphics use
randexam,Make an exam paper and its randomized variants,Exam
randintlist,"Creating random integer number lists, with repeating and sorting options","Random, Calculation"
random,Generating <q>random</q> numbers in TeX,"Calculation, Random"
randomwalk,Random walks using TikZ,"Graphics in TeX, Calculation, Random"
randtext,Randomise the order of characters in strings,Security
ransom,A <q>very bad typewriter</q> font,"Novelty Font, Font, Font ad-hoc"
rccol,Decimal-centered optionally rounded numbers in tabular,"Table, Maths, Tagged PDF – fully compatible"
rcs,Use RCS (revision control system) tags in LaTeX documents,"Document Management, Version control"
rcs-multi,Typeset RCS version control in multiple-file documents,"Document Management, Tagged PDF – fully compatible, Version control"
readarray,"Read, store and recall array-formatted data",Data manipulation
readprov,Provides GetFileInfo without the need to load the file,"Tagged PDF – fully compatible, Document Management"
realhats,Put real hats on symbols instead of ^,"Amusements, Graphics include, Graphics"
realtranspose,The <q>real</q> way to transpose a Matrix,"Maths, Amusements"
rec-thy,Commands to typeset recursion theory papers,Maths
recipe,A LaTeX class to typeset recipes,Cooking
